bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-2232_ses-190424idC89_acq-MGHMPR_T1w	0.8400587528560958	1.0280248868591984	0.6117509377285871	8140.382155954615	3.730608367976613	3.6332877165608233	4.1442499382458635	3.4142874491231523	0.250156079893951	0.37512208826002263	0.3747218318460263	0.5349265038967133	0.20795360952615738	0.0	0.001780979232464566	5.719123792894316	5.581058402065253	5.660327969866851	208	320	320	2.54510243605926	6.905178552417451	7.094433512957823	11.83301955039676	63.807183969229676	98.05655215397933	93.53300727160017	118.73528569159149	0.7999999523162842	0.800000011920929	0.800000011920929	143.41085770399627	5.40340779065871	13.710358406843408	3.644543170928955	4987939.0	0.0	26.85003289207816	83.41078974888386	-0.21010801735600992	159.56938631789004	532.3004232325155	526.2663392834365	916013.0283178762	221.34905164688826	862.1622438728809	206.77598063165132	-0.4334037293356765	74.80342660193152	815.8895955624985	808.7469080239534	1373609.3090428137	631.046955447644	1022.265886452049	117.12175253646875	-0.2204265109198369	68.47130809725334	972.5864079053299	979.3001392260194	1372143.6637143297	825.0619333125651	1096.5234535597265	82.75992262200555	0.2318070413774673	0.5069742993116588	0.5383906304828499	0.6472410241060267
sub-2232_ses-220923idIC_acq-ADNIMPR_T1w	0.5902658861743887	1.4246326876754187	0.5483054424731184	-1.0	3.7286333333333332	3.82284	3.88647	3.47659	0.26897086514219704	0.3758984242878635	0.35513071056993945	0.5230895578861237	0.22028247416019436	0.0	0.0018838189473223714	6.689782701531739	6.594501227817353	6.690729330081876	208	240	256	2.317831179604687	5.84306898683447	6.780083670018321	12.179350843615806	3.598471824124492	5.845210484221891	5.740033846203812	7.776419230265056	1.0	1.0	1.0	311.7065129957254	0.0	7.5978964653895655	0.0	3257777.0	0.0	12.715207487344742	80.74359799298854	-0.6063681166081119	151.36317016383936	449.19868377109754	443.50086845457554	505846.5131649667	157.91916452348232	753.2136230915785	191.34285274178617	-0.39482031013432906	80.01607586388417	726.9540865324751	720.4046753048897	706942.3936666742	527.4490813910961	958.0027130246162	123.29208630026979	-0.27364975194698715	60.476466624552174	943.142146192902	958.4203658252954	667885.0944121013	786.95068821311	1047.2876006364822	78.6921783128925	0.22568873274782406	0.5198651353257902	0.5560329812586889	0.4335564642218032
sub-2232_ses-220923idIC_acq-MGHMPR_T1w	0.8217328524823939	1.0051128846497126	0.6137802568817086	9428.49480368414	3.776712535351706	3.68947521990986	4.181499937690796	3.4591624484544625	0.25251066113028947	0.373058067215394	0.37443127165431656	0.4928375780582428	0.19319806694984432	0.0	0.0007951270002161139	5.713517944462356	5.578277497229286	5.658582958171167	208	320	320	2.5756842569414	6.797000916912534	7.185479960546377	12.183754707785194	3.5028671657654353	5.469951472663662	5.207066440291153	6.64838068244436	0.7999999523162842	0.800000011920929	0.800000011920929	99.23819308800803	0.0	15.504382888894387	0.0	4602458.0	0.0	26.014511808753014	96.66579671304864	-0.24735973921414312	156.667342898101	525.1439078614211	516.8503007292747	925796.7553869069	225.47701867297292	848.3203303255141	200.66513207051645	-0.42638842240756025	74.90707137549082	813.4418886280569	807.0948539674282	1367767.7871221313	623.4614250529557	1022.843305207789	118.74274680738122	-0.2560952792177158	67.97418285456773	973.3566748170313	980.9728409536183	1372802.4585627222	828.4869525209069	1092.5557469762862	80.5147926228612	0.23053847272758443	0.5057474624068192	0.5392971392260917	0.6841730394361973
sub-2233_ses-190618idP160_acq-ADNIMPR_T1w	0.685223408760102	1.1666766764588083	0.5147854882722027	9712.303623490212	4.0116966666666665	4.06097	4.27021	3.70391	0.27048997932480345	0.35781180668308765	0.37169821399210884	0.607052743434906	0.27168181836605076	0.0	0.0003101213761990892	7.771613280417218	7.639227137790924	7.735516349454934	208	240	256	1.8584243703067778	3.96332468914924	5.28239275602364	10.0254292086149	30.490209653158836	64.19963020564623	60.0882450318478	85.57489523673833	1.0	1.0	1.0	219.6228850967295	0.0	4.229055108056269	0.0	3248710.0	0.0	18.38909862935543	7.316853656148651	-0.5984349045612158	150.10327486687171	373.0659368799267	340.5281739458442	438998.47425154294	123.23994574695826	711.1138656064868	183.23467531948174	1.5468944872070294	84.60310829393217	708.7285023913098	717.0099218934774	580719.6170267136	370.2558423578739	1004.6385139077902	180.91106855569657	-0.5375022066154709	78.97920225127194	934.0030143686159	955.7383547723293	603256.9089319918	752.1388726383448	1059.2698046788573	95.33133621870564	0.20130797397854408	0.501799275845838	0.5259051656691263	0.4844710111608076
sub-2233_ses-190618idP160_acq-MGHMPR_T1w	0.9107568113970955	0.9350040977799983	0.5700180213946159	2352.25	4.2374208713240975	4.072162742719814	4.70621242987197	3.9338874413805094	0.2574058708885995	0.350697012797174	0.3918971163142264	0.6474190950393677	0.28661240637302393	0.0	9.183709091569019e-05	6.613652400810093	6.462268080179888	6.550300702251434	208	320	320	2.2410132642640272	4.46816415265727	5.762848879860644	10.579369222660635	39.35356112855679	75.17205996287069	69.17198486786286	92.99033351216111	0.7999999523162842	0.800000011920929	0.800000011920929	1120.8771301842733	6.826346830341689	10.056323444453124	4.60430096834898	5042483.0	0.0	38.70321225747466	17.62384351486201	-0.17161440361521363	139.73933511522986	439.6314469876226	410.0536274164915	816957.327689172	177.72601737827063	771.8162629120052	182.97677349409187	2.147383769381242	83.84360106913792	776.3590519907711	783.2728470861912	1113045.6870090135	453.225720025599	1056.4974833726883	175.3007428700084	-0.5343802206269781	85.24902541656121	963.0254604363805	968.934512604028	1243806.9876491812	803.9380331970751	1103.7592786066234	91.58713555671747	0.21276000971135545	0.4898267808537679	0.5202386640076091	0.778411192584695
sub-2233_ses-210726idP160_acq-ADNIMPR_T1w	0.7641347952073839	1.0563266439655994	0.5082422683949516	-1.0	4.17915	4.18529	4.48353	3.86863	0.26615999585823824	0.35190013856360863	0.381939865578153	0.6664911508560181	0.29514977335929854	0.0	0.0008822663959078641	7.6978347167195835	7.562534311955498	7.668418774943169	208	240	256	1.9011294373034597	3.252324663077125	4.870934943730014	9.459350730809458	6.985990597061726	15.298135341362288	14.370616815763697	20.827724508867078	1.0	1.0	1.0	1752.1803886140176	0.0	3.761472677462655	0.0	3470683.0	0.0	17.048393979668617	29.76359279739508	-0.5433531597824901	137.54553947231148	346.23958393193845	317.3815092816949	435632.04998444876	116.19390848279	659.6735359802842	166.94346990629603	3.1155542201963087	99.44751092088175	674.4960269732017	695.0117118507624	575965.5137428176	263.7535515204072	1010.4897596687078	213.6967186566263	-0.6866766595919582	92.51501941313367	928.0003431206444	946.2272454686463	625132.4361352014	745.4948202371597	1066.9315300285816	100.03080714250514	0.19725904317157508	0.4847823004140141	0.5053849429946782	0.46142825433339385
sub-2233_ses-210726idP160_acq-MGHMPR_T1w	0.8748342223354033	0.8653279880471106	0.5625869703074079	4038.861305051084	4.284437539036392	4.142475246910766	4.873387427380869	3.83744994281754	0.259347861330541	0.34010545316502716	0.4005466855044318	0.6798133254051208	0.3415830433368683	0.0	0.00024219255119060752	6.608500078951784	6.461566371111658	6.557814161884715	208	320	320	2.137324390467265	3.6870681256428273	5.4189673749173215	10.432509608641872	15.284053343168592	31.495278145656332	28.79440915124854	39.60389596492069	0.7999999523162842	0.800000011920929	0.800000011920929	2069.9887263389373	0.0	6.063136239401473	0.0	5140972.0	0.0	25.36172339692712	15.909289933474902	0.1511928895040131	124.59842158411836	409.9865559663617	371.1569621153176	822851.3730949032	178.5173393636942	743.883066829294	173.65484539439552	3.88253461598723	81.96552700822376	740.7889710754297	764.8292959369719	1079076.7184203914	329.59292909502983	1053.4785507135093	207.43553291761935	-0.6455471082092461	90.29733635427422	953.1154053875371	961.7384462244809	1270842.9075336326	792.7089458294213	1092.2327237315476	92.18664577521164	0.19527862560136167	0.46831458813167315	0.49442194808772405	0.6463202295411629
sub-2233_ses-221101idP160_acq-ADNIMPR_T1w	0.7970805820319103	1.0499814174827997	0.4999472710885697	8543.04081632653	4.104876666666667	4.14999	4.42637	3.73827	0.26341471310489883	0.35109369489943587	0.38549159199566524	0.6609601974487305	0.28366168141365045	0.0	0.0005606092812950498	7.7591672158003675	7.620609566706781	7.729139696546629	208	240	256	2.0280298736576396	2.9902914879809366	4.677890402043302	9.01534984449133	15.300944842510313	34.00779552573487	32.15959777472317	47.17005295592432	1.0	1.0	1.0	3040.8745332397475	0.0	4.7366799586147	0.0	3571130.0	0.0	19.650564692914486	13.134570124116046	-0.41649691152413215	124.1545994500503	334.8687053469442	306.7625810429454	427707.52321525186	126.82425120845437	618.7461280189455	151.26119512081704	2.177931246232279	108.6124183701471	656.0338639230501	681.8088188953698	570072.2366336808	237.6156149059534	1015.4162090271711	228.0072774287776	-0.8333187534386828	101.7250989112096	925.7342948474568	945.6937033385038	625924.2397257881	737.1839457601309	1069.3113770447671	104.89808650944559	0.19461663675797997	0.4752568056233267	0.4914141071576929	0.4573268921095008
sub-2233_ses-221101idP160_acq-MGHMPR_T1w	0.8838418288740448	0.8653219759569468	0.562168580677449	2424.405758749606	4.176845871440388	4.040500240832582	4.707274929856138	3.7827624436324467	0.2586577762112064	0.3387529099498449	0.40258931383894864	0.7153542637825012	0.2959252595901489	0.0	0.00016937368256326438	6.613626716661465	6.469891362730684	6.576167244906304	208	320	320	2.326989581585652	3.299397318345633	5.228113862320392	10.057954687029893	33.2866026996612	66.23395345334264	61.55759819797456	85.15223844091987	0.7999999523162842	0.800000011920929	0.800000011920929	1450.7923304783221	7.377314730072194	9.663446970433728	4.975923169404268	5251385.0	0.0	35.762441359460354	20.501805695979375	0.2953225714784189	114.1341982110524	406.4958674605817	374.83147694170475	819005.1882937442	185.20065009221435	714.7993889674544	161.0798995725724	2.4838971670313432	93.52531254575395	715.6588460405376	745.842728998512	1072615.6965487218	302.66453962028027	1058.0738821960986	226.0541272724575	-0.6529661227577686	94.76279759724993	952.0806058119177	958.8764461092651	1274745.1154009888	787.833100002259	1098.7159385345876	95.33509543849226	0.19418064626848455	0.4556031181594814	0.4749042872162377	0.7510057326762547
sub-2234_ses-190424idP156_acq-ADNIMPR_T1w	0.7592100230224977	1.1538227584338574	0.48151346689084396	9129.964449870726	3.96935	4.1029	4.07999	3.72516	0.27481545914673444	0.36350565600742496	0.3616788848458407	0.6259167194366455	0.27690840959548946	0.0	0.0006301652871565172	9.79236813668507	9.645889665602947	9.728728546270354	208	240	256	1.930430503427652	4.046684357709923	4.809797442312067	8.452277465798623	12.811946135351251	28.800495060439506	26.732713089445692	38.58569807254632	1.0	1.0	1.0	2883.486285364203	0.0	2.828325974153682	0.0	3380457.0	0.0	11.249498128890991	15.5880017669992	-0.5844253450646573	129.0352411615368	327.9982895661652	304.84131090343	355526.8358659849	96.82603746652603	625.9542173147202	157.9134196461015	1.0004252158416413	82.64807714328091	676.6562726454457	685.2651873603463	470264.7227378316	364.503827765584	966.9546293467283	169.33973549461996	-0.7882220981890264	94.1145671253217	891.8206137137893	918.0896218493581	467901.44167298253	695.2089401707053	1033.2965357229114	108.62026767249507	0.1949515986957153	0.5244231489515395	0.5506378761253348	0.3990264984502554
sub-2234_ses-190424idP156_acq-MGHMPR_T1w	0.9365992591783667	0.924133410977678	0.5383948147929032	5034.462647160664	4.249595873947509	4.185100249451414	4.666549930462987	3.897137441928127	0.26847636870863123	0.3516458392758693	0.3798777920154996	0.6398640275001526	0.29330818355083466	0.0	0.0003595323360051176	8.457102323700425	8.293627450702711	8.361522644887133	208	320	320	2.2295352478833235	4.825179412324018	5.663982722196839	9.937233506383178	13.728872737957746	29.330549156736495	26.31743843879957	35.89289342170447	0.7999999523162842	0.800000011920929	0.800000011920929	2376.580779099872	0.0	5.274104217642736	0.0	5092902.0	0.0	19.272600281983614	17.029666776340882	-0.06648086059134117	122.6794290638962	383.9112612536604	356.86939077451825	670464.9617263529	139.04115237295628	690.4202403500676	160.0643564516298	0.9019008335447696	72.88525491177849	756.0429949331632	762.4205867759883	878163.7479133087	468.067508880049	1012.0942956209183	158.00866403625005	-0.5840983960873887	86.8818038638634	923.600829442211	933.0026764050126	948667.2905680403	762.4205867759883	1064.343489613384	93.88953012543031	0.18200092128918985	0.5009339917771859	0.5306405027327951	0.5820378574021166
sub-2235_ses-210728idIC_acq-ADNIMPR_run-01_T1w	0.849658347960287	0.9199711593088287	0.5493345689531502	4355.3265566430655	3.933203333333333	3.94221	4.16366	3.69374	0.2645777041813727	0.3562887785036584	0.37913351731496886	0.7664405703544617	0.37881616353988645	0.0	0.0009316007861111912	7.641732185524141	7.488683221486563	7.588156008127297	208	240	256	1.965722598735639	3.7264249394607907	4.831267936337295	8.801656270815458	3.394581991217402	6.9685223513597885	6.461310287418534	9.020826519678414	1.0	1.0	1.0	325.64108929472565	0.0	14.009332952997134	0.0	3311551.0	0.0	41.63479343801737	67.6567645469254	-0.5497189602691255	141.7634054552458	378.7535822967018	350.5627751946449	436341.02051264164	125.88787937164307	706.2069621868432	178.33766255348797	5.94394434667722	84.32897433080622	709.3752823807637	719.6481159739196	587590.7408392807	348.15866638720036	1016.9380255490541	193.12008568348944	-0.5090591010969749	95.75105442748603	920.8234532213592	931.5921628847718	625266.2383915561	736.1490446068347	1079.8273263983428	105.84274019164472	0.21051416767562126	0.5043779288529523	0.5325650368664586	0.3509891512444161
sub-2235_ses-210728idIC_acq-ADNIMPR_run-02_T1w	0.8803699965951054	0.8738319757952487	0.5622195431842094	1751.2051041490977	3.8745100000000003	3.89085	4.05963	3.67305	0.26347904348381607	0.35721819729999543	0.37930275921618856	0.8586647510528564	0.4429705739021301	0.0	0.0004800941661287772	7.648494702645264	7.491848580368821	7.597831989040023	208	240	256	2.0999515037376875	3.652304363419191	4.729608004574969	8.436568146568028	16.22651544898372	30.91972177443996	29.008115911774468	39.87811051189972	1.0	1.0	1.0	275.91799271416494	15.09996668847103	20.308069870169476	10.18477275967598	3287334.0	0.0	67.00801312923431	76.74759194230967	-0.5772349522990412	141.01553590490158	394.270063172122	373.99821281433105	433676.2298639508	133.29251781105995	710.2070228755474	178.09829462881024	6.188032084506304	86.14407225553964	705.2228657357642	712.655820697546	587967.221208523	352.0146869122982	1016.8076410889626	195.12481539092968	-0.2944723722018461	95.63312236031652	912.9094837203992	919.1340006887913	624317.5488223392	726.4024811983109	1083.7043452262878	108.9463450788839	0.21870650553105048	0.505512198848273	0.5317315951701203	0.33215341606162385
