bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-2125_ses-220623idIC_task-rest_dir-AP_bold	0.00027214574898785427	0.03448963117408907	3	38.207545269651554	1.078900247285251	0.9627943041653152	0.44337555500372383	7418.38330078125	0.18070410077168472	492	39.83805668016194	1.9890213333333335	1.8721520000000003	2.172204	1.922708	0.0106788	-0.018527355045080185	0.03202194347977638	1235	88	88	64	6.124239125104326	0.6069999933242798	2.5	2.5	2.5	27.29149955484102	5.226922869262419	19.631668090820312	5.519028186798096	363822.0	1.740890622138977	86.8793083190918	36.37343978881836	2.4259192167727006	58.27045691399848	478.2951965332031	471.690673828125	65165.0	367.363720703125	621.9062133789063	77.01969909667969	30.777089540380985
sub-2126_ses-180419idC60_task-rest_dir-AP_bold	0.0007352826310380267	0.007590805909558068	3	36.33470591004114	1.0970534422222227	0.9863776795679018	0.4586427405411475	1920.9361572265625	0.14565115104025822	248	25.488180883864338	2.8054253333333334	2.635744	2.970744	2.809788	0.00764109	-0.0192667618393898	0.06457214057445526	973	88	88	64	3.054147764089707	0.6069999933242798	2.5	2.5	2.5	33.14949510234806	5.1578721586617835	24.845623016357422	9.700925827026367	360596.0	5.951695919036865	96.59969329833984	42.11351013183594	0.5790209898783876	132.267025955492	441.5500793457031	420.8232421875	67860.0	253.62848358154298	697.7895721435547	137.78643798828125	36.81828672112897
sub-2126_ses-220809idIC_task-rest_dir-AP_bold	0.0005276905660377358	0.027392791622641507	5	48.172793284758306	1.2983874700604252	1.0064616248489429	0.4344342998702425	9965.1689453125	0.20870004089060926	629	47.471698113207545	1.7220466666666667	1.64664	1.847436	1.672064	0.0130546	-0.01818852499127388	0.032433900982141495	1325	88	88	64	7.084597966905031	0.6069999933242798	2.5	2.5	2.5	32.51511908445254	4.382907743249686	17.9683837890625	5.073207378387451	362826.0	1.9079245328903198	81.1266040802002	35.573673248291016	3.2267261199486867	57.35487041211617	504.2193603515625	499.6686706542969	66307.0	404.3350830078125	621.6436767578125	70.52833557128906	37.90484111360274
sub-2126_ses-220809idIC_task-rest_dir-PA_bold	0.0004022760041194645	0.010405838414006179	5	44.73075847430932	1.112272354597938	0.983434610185567	0.46966055229711695	1400.8875732421875	0.2295399053983199	463	47.68280123583934	2.785192	2.656748	2.716788	2.98204	0.00925464	-0.0267115980386734	0.0399889200925827	971	88	88	64	2.8423577062974914	0.6069999933242798	2.5	2.5	2.5	20.34569887171226	6.527420189214133	26.70488166809082	10.843461036682129	360707.0	6.144181728363037	106.47641983032248	41.969913482666016	1.5243121062040155	131.54239778683728	423.6454772949219	399.382080078125	68042.0	243.77596130371094	683.2165222167969	140.5098114013672	32.444413006771356
sub-2127_ses-180410idP140_task-rest_dir-AP_bold	0.002316587872559096	0.009387998890030832	3	38.44025000235593	1.1165918621090536	1.016372123796296	0.5153404609786741	853.3515014648438	0.15116137238904917	202	20.76053442959918	2.9439279999999997	2.680632	3.01124	3.139912	0.00602303	-0.008511099964380264	0.07481023669242859	973	88	88	64	2.6367810060900934	0.6069999933242798	2.5	2.5	2.5	28.039685473470257	10.966381363355271	35.753353118896484	14.326825141906738	333421.0	6.265159606933594	142.8170623779297	59.309967041015625	0.2383698348872727	162.66261108359387	456.4150695800781	431.7389831542969	84805.0	233.74492797851562	759.8976440429688	163.73617553710938	35.091930015943944
sub-2127_ses-190715idP140_task-rest_dir-AP_bold	0.0003383230452674897	0.005594276008230452	4	36.71143619813597	1.1461267797322343	0.9962985479299705	0.5086791789639964	826.669921875	0.1424375271321435	207	21.296296296296298	3.0777813333333337	2.917456	3.118144	3.197744	0.0156631	0.0015971605898812413	0.07924327254295349	972	88	88	64	2.386195664957908	0.6069999933242798	2.5	2.5	2.5	32.16384085738442	12.510600786603549	40.21186828613281	16.155349731445312	330642.0	6.798353672027588	157.49572601318363	67.44374084472656	0.5801870075171816	198.54816345681064	525.1387939453125	488.7510070800781	83423.0	254.84473876953126	912.7882324218746	204.82313537597656	42.932943218853325
sub-2127_ses-201105idP140_task-rest_dir-AP_bold	0.0013159302325581393	0.007613840730897009	4	35.783979120947585	1.1193150068827926	0.9945400549376576	0.5039682306210901	780.7130126953125	0.1630834458208667	333	27.6578073089701	3.2505333333333333	3.11104	3.303056	3.337504	0.0147713	-0.01794012077152729	0.0923338234424591	1204	88	88	64	2.1600092823252384	0.6069999933242798	2.5	2.5	2.5	29.680235632573954	14.370404956467352	46.52233123779297	18.217607498168945	329971.0	7.681063175201416	184.65863800048828	76.6745376586914	1.6972203422668075	235.0995701863701	594.7227783203125	545.7947998046875	82506.0	276.6773147583008	1061.0022277832031	252.68016052246094	37.23810001183301
sub-2127_ses-220510idP140_task-rest_dir-AP_bold	0.0003376063829787234	0.007759077127659574	4	34.734319612244896	1.106656400408166	0.9896762579591835	0.5088740272147573	812.35009765625	0.15594550901873988	321	28.45744680851064	3.047436	2.92486	3.04976	3.167688	0.00849283	0.0021784643176943064	0.07985632121562958	1128	88	88	64	2.40284603351247	0.6069999933242798	2.5	2.5	2.5	31.598272911510186	13.157437216596602	41.680850982666016	16.80274772644043	332730.0	6.859929084777832	164.25846710205076	69.7604751586914	0.3760841872372245	199.94755933132723	533.4276733398438	496.4148864746094	83375.0	259.40558471679685	923.0527282714844	206.5933074951172	38.7371717216447
sub-2128_ses-180417idP141_task-rest_dir-AP_bold	0.0008178211716341212	0.01785966197327852	3	41.86823540362137	1.0270660054835392	0.976966941316873	0.4860751951636004	1046.499755859375	0.29191625719365444	602	61.8705035971223	2.808266760027068	2.608656	2.9368642800812035	2.87928	0.00550509	-0.022169919684529305	0.08949371427297592	973	88	88	64	3.09473662462418	0.6069999933242798	2.5	2.499999761581421	2.5	36.61301982316958	8.03469884053764	28.51294708251953	11.605344772338867	359347.0	5.751285076141357	104.3698890686036	46.152828216552734	0.6360220741547167	112.55130763228259	392.5807800292969	377.3206787109375	67563.0	216.42663116455077	616.1860534667964	121.92245483398438	25.084921971545555
sub-2131_ses-180425idC62_task-rest_dir-AP_bold	0.0004411111111111111	0.009459395679012344	4	36.81069859459327	1.0388812749536556	0.9706149728012358	0.4834598175436568	1308.1187744140625	0.14244590137363486	227	23.353909465020575	2.740042485767509	2.529532	2.827259730371501	2.863335726931026	0.0066929	-0.020420467481017113	0.059468235820531845	972	88	88	64	2.8716144215876946	0.6069999933242798	2.5	2.500000238418579	2.500000238418579	25.36554905950131	6.722044109153143	27.07054901123047	10.86419677734375	349529.0	5.916666507720947	108.75740356445307	44.90213394165039	0.9165294021536097	128.01857066028816	418.5163269042969	397.28289794921875	73756.0	233.08306884765625	678.6687164306641	138.3473358154297	33.3688639474567
